Proj_Ref,Calc_Stage,GIFA_(m2),No_storeys,Basement,Found_Type,Supstr_Type,Supstr_Cr_elems,Supstr_uw,Clad_Type,Concr(kg/m2),Masnry&Blwk(m2/m2),Reinf(kg/m2),Steel_Sec(kg/m2),Timber_Prod(kg/m2),Concrete_Carbon_(A1-A5)_(kgCO2e/m2),Masonry_& Blockwork_Carbon_(A1-A5)_(kgCO2e/m2),Reinforcement_Carbon_(A1-A5)_(kgCO2e/m2),Steel_(Sections)_Carbon_(A1-A5)_(kgCO2e/m2),Timber_(Products)_Carbon_(A1-A5)_(kg/m2),Total_Carbon_(A1-A5)_(kgCO2e/m2)
174,As_Built,7412.282,7_to_10,False,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1430.18,0.819,74.107,6.39,33.475,155.3922,0.0,159.3297,0.0,0.0,314.7218
175,As_Built,2045.532,7_to_10,False,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1430.18,0.819,74.107,6.39,33.475,146.3935,0.0,182.8938,0.0,0.0,329.2873
176,As_Built,4728.906,4_to_6,True,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1169.186,0.819,44.464,6.39,33.475,160.3605,0.0,117.3817,0.0,0.0,277.7422
185,Stage_4,11437.344,7_to_10,True,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1430.18,0.819,74.107,6.39,33.475,186.9554,0.0,159.458,0.0,0.0,346.4133
186,Stage_4,8753.968,7_to_10,True,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1560.678,0.819,74.107,6.39,33.475,210.5064,0.0,174.557,0.0,0.0,385.0634
187,Stage_4,8753.968,7_to_10,True,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1169.186,0.819,74.107,6.39,33.475,158.8154,0.0,136.2742,0.0,0.0,295.0896
190,As_Built,693.11,1_to_3,False,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Other,1952.168,0.819,103.75,6.39,33.475,207.9612,0.0,193.3507,0.0,0.0,401.3119
191,As_Built,693.11,1_to_3,False,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Other,1952.168,0.819,103.75,6.39,33.475,207.9612,0.0,193.3507,0.0,0.0,401.3119
193,As_Built,3387.218,4_to_6,False,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,777.696,0.819,44.464,6.39,33.475,80.5289,0.0,112.5604,0.0,0.0,193.0893
194,As_Built,4728.906,7_to_10,False,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,908.192,0.819,74.107,6.39,33.475,96.6749,0.0,129.8847,0.0,0.0,226.5597
195,As_Built,6070.594,7_to_10,False,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1038.69,0.819,44.464,6.39,33.475,138.1479,0.0,91.6511,0.0,0.0,229.799
197,As_Built,693.11,1_to_3,False,Mass(Pads/Strips),Steel_Frame&CLT,No_elems,low,Other,1430.18,0.819,14.718,58.206,33.475,140.7532,0.0,58.5244,100.6328,14.454,314.3643
198,Stage_4,693.11,1_to_3,False,Piled(Ground-beams/Caps),Steel_Frame&CLT,No_elems,low,Other,385.03,0.819,14.718,45.272,100.828,49.1966,0.0,46.0848,66.6642,43.6355,205.5811
199,As_Built,693.11,1_to_3,False,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,647.198,0.819,14.718,45.272,33.475,132.7123,0.0,36.943,72.3337,0.0,241.9889
200,Stage_5,693.11,1_to_3,False,Mass(Pads/Strips),Steel_Frame&Precast/Composite,Floors,medium,Other,516.702,0.819,14.718,6.39,33.475,78.7709,0.0,14.7017,13.88,0.0,107.3526
201,Stage_4,693.11,1_to_3,False,Mass(Pads/Strips),Steel_Frame&CLT,No_elems,low,Masonry,647.198,0.819,14.718,45.272,33.475,75.9881,0.0,39.6698,68.7408,12.3441,196.7428
203,Stage_5,693.11,4_to_6,True,Reinforced(Pads/Strips/Raft),RC_Frame,Frame&Floors,high,Masonry,1169.186,0.819,74.107,6.39,33.475,117.9312,0.0,168.778,4.5174,0.0,291.2266
205,Stage_4,693.11,1_to_3,False,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,1169.186,0.819,14.718,84.075,33.475,154.6195,0.0,0.0,131.153,0.0,285.7725
207,Stage_4,693.11,1_to_3,True,Reinforced(Pads/Strips/Raft),Steel_Frame&CLT,No_elems,low,Masonry,516.702,0.819,14.718,71.14,33.475,72.7134,0.0,39.0843,103.5076,4.9932,220.2986
223,Stage_4,693.11,4_to_6,True,Reinforced(Pads/Strips/Raft),Steel_Frame&CLT,No_elems,low,Other,1299.684,0.819,74.107,6.39,33.475,162.0326,0.0,151.0933,15.9029,12.6192,341.648
225,Stage_5,3387.218,1_to_3,False,Mass(Pads/Strips),Steel_Frame&CLT,No_elems,low,Other,777.696,0.819,14.718,32.336,33.475,97.1991,0.0,45.9812,61.009,0.0,204.1893
226,Stage_5,2045.532,4_to_6,False,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1430.18,0.819,74.107,6.39,33.475,184.1719,0.0,127.1925,0.0,0.0,311.3644
227,Stage_5,693.11,1_to_3,False,Reinforced(Pads/Strips/Raft),Timber_Frame(Glulam&CLT),No_elems,low,Other,777.696,0.819,14.718,6.39,33.475,95.9303,0.0,6.3649,0.0,0.0,102.2952
230,As_Built,2045.532,1_to_3,False,Piled(Ground-beams/Caps),Steel_Frame&CLT,No_elems,low,Other,1560.678,0.819,44.464,58.206,33.475,188.5896,0.0,91.4818,92.3676,0.0,372.439
235,Stage_4,2045.532,4_to_6,False,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1299.684,0.819,74.107,6.39,33.475,175.1955,0.0,144.7946,0.0,0.0,319.9901
238,As_Built,693.11,1_to_3,False,Mass(Pads/Strips),Steel_Frame&Precast/Composite,Floors,medium,Other,1169.186,0.819,44.464,58.206,33.475,139.583,0.0,78.9628,101.8798,0.0,320.4256
253,Stage_5,2045.532,1_to_3,False,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Other,908.192,0.819,14.718,58.206,33.475,123.0625,0.0,7.2116,88.7678,0.0,219.0419
257,Stage_5,693.11,1_to_3,False,Reinforced(Pads/Strips/Raft),Steel_Frame&CLT,No_elems,low,Other,647.198,0.819,14.718,45.272,33.475,75.9042,0.0,21.5235,67.9415,0.0,165.3692
263,Stage_4,693.11,1_to_3,False,Mass(Pads/Strips),Steel_Frame&Precast/Composite,Floors,medium,Other,908.192,0.819,14.718,45.272,33.475,128.7336,0.0,3.3055,73.7386,0.0,205.7777
